Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
4429.0,028,039,1.0
2633.0,014,010,1.0
4106.0,003,009,1.0
2510.0,015,021,1.0
4320.0,010,049,1.0
2212.0,021,025,1.0
7415.0,030,005,1.0
5087.0,020,020,1.0
5435.0,030,039,1.0
6041.0,025,020,1.0
2265.0,016,011,1.0
7347.0,002,018,1.0
5521.0,006,022,1.0
5037.0,004,010,1.0
2021.0,003,020,1.0
2317.0,011,014,1.0
5453.0,021,021,1.0
2023.0,025,004,1.0
2344.0,002,009,1.0
2409.0,012,021,1.0
5691.0,006,024,1.0
2103.0,022,022,1.0
2265.0,007,017,1.0
5049.0,031,010,1.0
5535.0,010,021,1.0
4423.0,022,018,1.0
2291.0,007,028,1.0
2755.0,001,005,3.0
5178.0,016,028,1.0
2024.0,003,010,1.0
5081.0,029,017,1.0
2021.0,003,002,1.0
2407.0,011,014,1.0
2695.0,009,013,1.0
2559.0,016,014,1.0
2315.0,006,009,1.0
5020.0,034,017,1.0
2135.0,024,001,1.0
5072.0,024,007,1.0
2041.0,008,029,1.0
5069.0,016,002,1.0
2040.0,004,055,1.0
2303.0,008,005,1.0
2325.0,010,002,1.0
2303.0,004,013,1.0
2206.0,016,008,1.0
2123.0,026,002,1.0
2762.0,040,002,1.0
2688.0,043,034,1.0
2610.0,011,012,1.0
5515.0,011,007,1.0
5085.0,008,008,1.0
4309.0,015,020,1.0
5505.0,020,014,1.0
2285.0,013,015,1.0
5070.0,014,050,1.0
2781.0,016,007,1.0
7417.0,021,019,1.0
2305.0,029,009,1.0
2692.0,020,058,1.0
2303.0,005,009,1.0
7349.0,004,010,1.0
2677.0,020,083,1.0
4107.0,005,012,1.0
2673.0,015,049,1.0
2331.0,025,034,1.0
2405.0,010,007,1.0
2105.0,001,015,1.0
2532.0,028,006,1.0
2726.0,015,015,1.0
5445.0,011,015,1.0
2020.0,006,037,1.0
5229.0,002,003,1.0
5170.0,003,013,1.0
5550.0,010,013,1.0
2139.0,024,040,1.0
2633.0,033,009,1.0
2627.0,011,012,1.0
2782.0,008,011,1.0
2715.0,031,043,1.0
2532.0,024,027,1.0
5053.0,006,023,1.0
2176.0,028,006,1.0
4243.0,011,013,1.0
5063.0,011,018,1.0
2106.0,013,128,1.0
2762.0,030,017,1.0
4308.0,006,003,1.0
4248.0,023,002,1.0
5062.0,002,006,1.0
2177.0,010,018,1.0
2309.0,011,018,1.0
5061.0,001,002,1.0
5307.0,006,009,1.0
2249.0,020,008,1.0
5063.0,010,030,1.0
5056.0,011,014,2.0
2303.0,004,023,1.0
5423.0,020,015,1.0
2127.0,022,041,1.0
5033.0,018,024,1.0
5682.0,021,011,1.0
2683.0,027,005,1.0
2118.0,002,009,1.0
2308.0,023,019,1.0
5215.0,011,009,1.0
2606.0,020,009,1.0
5301.0,011,024,1.0
4352.0,001,005,1.0
5015.0,007,014,1.0
5068.0,015,020,1.0
2125.0,032,027,1.0
5420.0,035,005,1.0
6038.0,021,048,1.0
2613.0,017,003,1.0
2303.0,011,004,1.0
2341.0,014,026,1.0
5507.0,027,009,1.0
2263.0,033,039,1.0
2245.0,024,009,1.0
4012.0,006,035,1.0
2243.0,009,014,1.0
5056.0,021,009,1.0
4241.0,022,029,1.0
2686.0,013,003,1.0
2640.0,021,021,1.0
4105.0,018,015,1.0
5592.0,008,003,1.0
2607.0,007,009,1.0
5402.0,028,018,1.0
2217.0,018,001,1.0
4107.0,014,011,1.0
2307.0,006,016,1.0
5525.0,007,024,1.0
2074.0,043,020,1.0
2408.0,020,003,1.0
2115.0,018,006,1.0
2513.0,025,013,1.0
2661.0,003,010,1.0
2502.0,006,030,1.0
2014.0,034,027,1.0
2017.0,021,016,1.0
2696.0,020,019,1.0
5525.0,016,016,1.0
2708.0,008,017,1.0
5716.0,011,020,1.0
2357.0,025,059,1.0
2690.0,016,018,1.0
6120.0,010,041,1.0
2218.0,014,010,1.0
5431.0,034,015,1.0
2107.0,007,002,1.0
2038.0,016,005,1.0
6050.0,018,014,1.0
2238.0,021,018,1.0
5438.0,008,029,1.0
5087.0,020,017,1.0
2235.0,016,001,1.0
4012.0,023,014,1.0
4232.0,016,003,1.0
2129.0,005,019,1.0
2506.0,025,002,1.0
6015.0,024,012,1.0
2414.0,030,027,1.0
2711.0,003,013,1.0
2558.0,033,026,1.0
4248.0,009,007,1.0
2217.0,032,001,1.0
5016.0,008,016,1.0
7447.0,031,014,1.0
4012.0,001,016,1.0
2336.0,029,022,1.0
5074.0,028,025,1.0
2532.0,005,017,1.0
4306.0,016,010,1.0
2605.0,022,021,1.0
2683.0,020,002,1.0
4107.0,031,022,1.0
2114.0,002,031,1.0
5017.0,008,017,1.0
2335.0,002,007,1.0
2216.0,037,024,1.0
7449.0,010,027,1.0
5467.0,029,003,1.0
4248.0,027,018,1.0
2782.0,005,017,1.0
2359.0,010,016,1.0
2112.0,013,016,1.0
2148.0,012,007,1.0
2104.0,023,015,1.0
2219.0,011,009,1.0
5049.0,031,029,1.0
5534.0,006,007,1.0
2532.0,015,029,1.0
5055.0,018,029,1.0
2508.0,009,006,1.0
6052.0,026,014,1.0
2527.0,027,009,1.0
4242.0,024,005,1.0
5046.0,032,039,1.0
2316.0,018,001,1.0
5435.0,010,003,1.0
5404.0,005,017,1.0
6069.0,021,022,1.0
2112.0,012,022,1.0
2231.0,023,006,1.0
2116.0,015,026,1.0
2695.0,008,002,1.0
5526.0,024,007,1.0
2146.0,023,014,1.0
6042.0,030,016,1.0
4318.0,035,003,1.0
2125.0,032,013,1.0
5473.0,011,034,1.0
5671.0,010,010,1.0
5594.0,018,011,1.0
5474.0,014,018,1.0
2103.0,010,015,1.0
5086.0,027,020,1.0
2331.0,025,022,1.0
5583.0,008,017,1.0
7460.0,023,004,1.0
2325.0,018,015,1.0
2128.0,019,017,1.0
6084.0,010,016,1.0
2021.0,017,005,1.0
2245.0,014,008,1.0
5045.0,015,011,1.0
2408.0,029,008,1.0
2164.0,011,006,1.0
2238.0,008,029,1.0
2689.0,027,035,1.0
2340.0,008,024,1.0
5056.0,015,017,1.0
2329.0,026,010,1.0
5691.0,005,016,1.0
2715.0,001,034,1.0
7425.0,029,020,1.0
4123.0,013,014,1.0
2512.0,018,057,1.0
5524.0,012,005,1.0
2511.0,011,020,1.0
2135.0,018,008,1.0
2651.0,008,047,2.0
5477.0,006,009,1.0
4264.0,014,010,1.0
6018.0,025,019,1.0
2228.0,023,011,1.0
2314.0,002,020,1.0
4245.0,023,026,1.0
2531.0,018,023,1.0
2715.0,035,051,1.0
2304.0,005,009,1.0
2119.0,012,026,1.0
2651.0,020,033,1.0
2333.0,004,012,1.0
6034.0,004,023,1.0
2527.0,029,015,1.0
2331.0,003,016,1.0
5556.0,029,005,1.0
7448.0,013,027,1.0
2010.0,020,044,1.0
4218.0,010,014,1.0
2010.0,011,023,1.0
2130.0,022,023,1.0
2376.0,017,024,1.0
2326.0,008,003,1.0
2332.0,033,015,1.0
2181.0,025,010,1.0
2120.0,023,008,1.0
6042.0,010,019,1.0
2036.0,022,016,1.0
4264.0,004,001,1.0
2533.0,028,004,1.0
2715.0,007,042,1.0
4243.0,024,034,1.0
2681.0,007,006,1.0
2733.0,027,028,1.0
2634.0,035,017,1.0
2120.0,031,001,1.0
2615.0,009,039,1.0
4230.0,028,025,1.0
2755.0,012,006,2.0
2022.0,009,018,1.0
2611.0,002,007,1.0
4258.0,007,018,1.0
5434.0,021,005,1.0
2033.0,019,001,1.0
2229.0,005,014,1.0
2501.0,020,107,1.0
5002.0,002,014,1.0
2120.0,013,015,1.0
2785.0,016,023,1.0
2420.0,022,012,1.0
5047.0,010,012,1.0
5178.0,016,028,1.0
2182.0,001,024,1.0
4233.0,009,009,1.0
2696.0,020,003,1.0
2558.0,020,005,1.0
2120.0,026,019,1.0
2711.0,003,013,1.0
2128.0,008,004,1.0
2533.0,011,015,1.0
5436.0,006,003,1.0
6004.0,029,020,1.0
2225.0,008,006,1.0
5083.0,011,024,1.0
2110.0,001,047,1.0
2661.0,004,010,1.0
4231.0,018,003,1.0
2414.0,031,048,1.0
2129.0,019,032,1.0
5050.0,030,041,1.0
2325.0,026,014,1.0
5057.0,025,028,1.0
5109.0,010,019,1.0
5066.0,019,030,1.0
2038.0,017,029,1.0
5063.0,010,025,1.0
5113.0,012,020,1.0
2305.0,024,001,1.0
2151.0,017,016,1.0
2618.0,004,027,1.0
2328.0,020,018,1.0
4316.0,029,011,1.0
2039.0,008,002,1.0
4217.0,021,014,1.0
6088.0,025,020,1.0
